Date;PO;TPS;TVQ;Total_Des_Departements;Rabais
2022-07-22;0.00;11.90;23.74;238.00;0.00
2022-07-23;0.00;21.42;34.35;428.10;0.00
2022-07-24;0.00;8.67;16.47;173.35;0.00
2022-07-25;;;;;
2022-07-26;0.00;30.49;50.54;527.64;0.00
2022-07-27;0.00;40.04;78.53;815.50;0.00
2022-07-28;0.00;7.20;14.36;144.00;0.00
2022-07-29;0.00;23.85;36.99;476.75;0.00
2022-07-30;64.58;0.00;37.77;755.25;
2022-07-31;0.00;15.83;29.80;316.20;0.00
2022-08-01;;;;;
2022-08-02;0.00;36.00;68.93;720.00;0.00
2022-08-03;0.00;11.99;16.05;239.65;0.00
2022-08-04;0.00;28.00;42.99;560.00;0.00
2022-08-05;0.00;22.48;44.83;399.35;0.00
2022-08-06;0.00;27.88;52.41;614.92;0.00
2022-08-07;0.00;2.39;4.76;47.75;0.00
2022-08-08;;;;;
2022-08-09;0.00;26.87;52.49;537.17;0.00
2022-08-10;0.00;20.33;23.58;406.55;0.00
2022-08-11;0.00;25.00;39.98;499.70;0.00
2022-08-12;0.00;28.27;42.44;630.13;0.00
2022-08-13;0.00;47.42;78.71;947.95;0.00
2022-08-14;0.00;10.82;19.91;209.05;0.00
2022-08-15;;;;;
2022-08-16;;;;;
2022-08-17;;;;;
2022-08-18;;;;;
2022-08-19;;;;;
2022-08-20;0.00;38.81;67.18;776.14;0.00
2022-08-21;0.00;43.14;79.97;862.65;0.00
2022-08-22;;;;;
2022-08-23;0.00;56.11;87.77;1121.87;0.00
2022-08-24;0.00;30.44;27.87;641.00;32.30
2022-08-25;0.00;91.05;81.32;885.15;47.05
2022-08-26;20.00;66.72;131.94;1380.90;47.05
2022-08-27;0.00;52.93;87.09;1082.40;24.19
2022-08-28;0.00;25.84;45.75;516.60;0.00
2022-08-29;;;;;
2022-08-30;20.00;11.11;15.48;488.85;0.00
2022-08-31;0.00;37.10;64.84;748.20;6.40
2022-09-01;;53.28;42.90;1130.43;65.20
2022-09-02;0.00;19.43;27.43;388.55;0.00
2022-09-03;0.00;27.52;47.35;694.21;0.00
2022-09-04;0.00;31.37;55.05;768.29;0.00
2022-09-05;;;;;
2022-09-06;0.00;31.82;59.86;766.88;3.75
2022-09-07;0.00;22.28;44.42;453.15;7.65
2022-09-08;;78.96;111.04;1719.45;140.42
2022-09-09;0.00;17.71;35.31;353.93;0.00
2022-09-10;0.00;17.68;31.36;353.40;0.00
2022-09-11;20.00;11.98;23.68;320.95;0.00
2022-09-12;;;;;
2022-09-13;0.00;4.58;-1.49;91.50;0.00
2022-09-14;100.00;26.43;45.69;546.55;8.05
2022-09-15;0.00;20.51;49.89;419.00;9.00
2022-09-16;0.00;26.75;35.03;534.70;0.00
2022-09-17;0.00;82.98;163.39;1659.15;0.00
